order_id,user_id,age_stage,category,amount,city_tier,order_date
O00000085,U005236,6-12月,奶粉,1359.39,二线城市,2010-02-25
O00000086,U003719,1-3岁,服饰,96.34,三线及以下,2010-09-14
O00000087,U003096,孕期囤货,服饰,91.19,二线城市,2010-12-08
O00000088,U004961,1-3岁,纸尿裤,201.63,三线及以下,2010-12-17
O00000089,U001636,1-3岁,营养品,505.79,三线及以下,2010-07-21
O00000090,U002767,孕期囤货,待产包,655.11,二线城市,2010-03-04
O00000091,U002690,0-3月,纸尿裤,210.81,三线及以下,2010-07-28
O00000092,U005957,0-3月,奶粉,631.06,三线及以下,2010-05-06
O00000093,U001847,1-3岁,洗护用品,99.05,三线及以下,2010-12-06
O00000094,U000087,6-12月,辅食,132.75,三线及以下,2010-07-09
O00000095,U005752,0-3月,服饰,104.56,三线及以下,2010-02-08
O00000096,U005533,0-3月,纸尿裤,543.27,一线城市,2010-04-23
O00000097,U003380,孕期囤货,安全座椅,2700.4,一线城市,2010-06-16
O00000098,U001462,6-12月,玩具,154.25,一线城市,2010-09-28
O00000099,U003219,0-3月,营养品,245.77,二线城市,2010-12-03
O00000100,U005176,0-3月,奶粉,1148.04,一线城市,2010-01-19
O00000101,U002793,6-12月,辅食,400.02,三线及以下,2010-01-20
O00000102,U004829,1-3岁,辅食,137.19,三线及以下,2010-07-21
O00000103,U000822,3-6岁,服饰,97.21,三线及以下,2010-11-25
O00000104,U005832,3-6岁,营养品,287.86,二线城市,2010-11-18
O00000105,U005273,3-6月,服饰,113.72,二线城市,2010-08-08
O00000106,U004807,孕期囤货,洗护用品,169.61,一线城市,2010-11-01
O00000107,U001985,6-12月,纸尿裤,453.04,二线城市,2010-03-14
O00000108,U001606,6-12月,辅食,81.21,二线城市,2010-08-28
O00000109,U002791,0-3月,洗护用品,61.17,三线及以下,2010-11-05
O00000110,U003066,3-6岁,服饰,151.95,一线城市,2010-05-20
O00000111,U000278,0-3月,洗护用品,67.29,三线及以下,2010-09-09
O00000112,U004806,3-6月,奶粉,176.14,三线及以下,2010-09-17
O00000113,U001663,6-12月,玩具,213.88,二线城市,2010-04-16
O00000114,U000461,3-6月,奶粉,790.13,三线及以下,2010-07-15
O00000115,U004411,6-12月,纸尿裤,289.37,一线城市,2010-04-24
O00000116,U005324,1-3岁,玩具,123.52,二线城市,2010-02-11
O00000117,U004442,孕期囤货,婴儿车,1858.02,三线及以下,2010-01-19
O00000118,U003849,3-6月,纸尿裤,471.96,一线城市,2010-03-20
O00000119,U003058,1-3岁,玩具,90.97,三线及以下,2010-09-15
O00000120,U003307,1-3岁,辅食,298.93,三线及以下,2010-09-25
O00000121,U005093,1-3岁,玩具,191.65,一线城市,2010-11-16
O00000122,U000926,3-6岁,安全座椅,1816.75,二线城市,2010-01-02
O00000123,U000990,3-6岁,玩具,256.53,二线城市,2010-09-26
O00000124,U001395,1-3岁,纸尿裤,367.28,二线城市,2010-10-11
O00000125,U003201,1-3岁,辅食,391.09,二线城市,2010-03-24
O00000126,U005875,0-3月,洗护用品,86.42,二线城市,2010-06-04
O00000127,U002297,1-3岁,辅食,244.62,三线及以下,2010-05-05
O00000128,U003843,1-3岁,玩具,251.53,一线城市,2010-10-28
O00000129,U005143,3-6岁,营养品,663.14,三线及以下,2010-08-06
O00000130,U003046,1-3岁,营养品,248.12,三线及以下,2010-06-10
O00000131,U005633,6-12月,辅食,561.87,二线城市,2010-12-20
O00000132,U005776,1-3岁,服饰,85.49,三线及以下,2010-11-06
O00000133,U001273,孕期囤货,洗护用品,104.2,二线城市,2010-03-15
O00000134,U004531,3-6岁,服饰,105.04,一线城市,2010-11-02
O00000135,U002755,孕期囤货,营养品,828.83,二线城市,2010-06-03
O00000136,U002979,0-3月,纸尿裤,341.78,三线及以下,2010-06-16
O00000137,U002826,1-3岁,服饰,85.7,三线及以下,2010-03-22
O00000138,U000745,1-3岁,洗护用品,94.55,二线城市,2010-07-17
O00000139,U005264,6-12月,纸尿裤,622.37,二线城市,2010-05-24
O00000140,U001668,3-6月,奶粉,336.74,二线城市,2010-01-16
O00000141,U000123,3-6岁,玩具,123.37,三线及以下,2010-05-19
O00000142,U004946,1-3岁,辅食,454.91,三线及以下,2010-01-25
O00000143,U003806,0-3月,服饰,84.18,三线及以下,2010-10-10
O00000144,U000353,3-6月,营养品,781.6,二线城市,2010-03-14
O00000145,U003588,3-6岁,洗护用品,126.51,二线城市,2010-04-19
O00000146,U004462,0-3月,奶粉,898.23,三线及以下,2010-02-10
O00000147,U001758,6-12月,玩具,158.07,三线及以下,2010-09-18
O00000148,U005105,3-6岁,服饰,136.56,二线城市,2010-11-17
O00000149,U004363,孕期囤货,婴儿车,1536.78,一线城市,2010-10-24
O00000150,U004973,3-6岁,服饰,140.61,二线城市,2010-10-02
O00000151,U002096,3-6岁,营养品,297.91,二线城市,2010-04-19
O00000152,U003855,孕期囤货,安全座椅,2383.6,一线城市,2010-04-28
O00000153,U004288,1-3岁,纸尿裤,422.23,二线城市,2010-09-11
O00000154,U004333,1-3岁,辅食,230.45,二线城市,2010-06-19
O00000155,U004397,6-12月,服饰,194.47,一线城市,2010-05-03
O00000156,U005212,6-12月,纸尿裤,109.58,三线及以下,2010-03-22
O00000157,U002805,6-12月,奶粉,1531.48,一线城市,2010-05-15
O00000158,U001498,6-12月,纸尿裤,306.83,三线及以下,2010-04-26
O00000159,U000926,3-6岁,服饰,127.41,二线城市,2010-03-24
O00000160,U003278,孕期囤货,营养品,1359.81,一线城市,2010-12-21
O00000161,U003447,1-3岁,奶粉,779.93,一线城市,2010-01-13
O00000162,U004913,3-6月,纸尿裤,244.13,二线城市,2010-11-09
O00000163,U002284,1-3岁,纸尿裤,97.09,三线及以下,2010-08-08
O00000164,U000381,1-3岁,纸尿裤,508.57,三线及以下,2010-02-12
O00000165,U000029,1-3岁,玩具,141.42,三线及以下,2010-01-27
O00000166,U001435,1-3岁,辅食,195.87,三线及以下,2010-11-09
O00000167,U000368,6-12月,服饰,177.27,一线城市,2010-12-27
O00000168,U003748,0-3月,洗护用品,113.53,一线城市,2010-03-13
O00000169,U001546,3-6岁,玩具,144.9,三线及以下,2010-12-21
O00000170,U002340,1-3岁,纸尿裤,696.2,一线城市,2010-03-23
O00000171,U004801,0-3月,奶粉,896.74,二线城市,2010-03-03
O00000172,U004813,0-3月,奶粉,298.7,三线及以下,2010-04-28
O00000173,U003718,0-3月,纸尿裤,129.35,二线城市,2010-06-04
O00000174,U002499,3-6岁,玩具,154.04,一线城市,2010-03-08
O00000175,U005023,1-3岁,服饰,173.51,二线城市,2010-02-16
O00000176,U003338,1-3岁,辅食,317.09,一线城市,2010-06-18
O00000177,U000700,3-6月,玩具,150.87,二线城市,2010-12-03
O00000178,U002250,孕期囤货,洗护用品,60.69,三线及以下,2010-09-21
O00000179,U004661,1-3岁,奶粉,860.3,一线城市,2010-01-26
O00000180,U004433,6-12月,奶粉,1445.25,一线城市,2010-02-25
O00000181,U002374,3-6岁,营养品,794.45,三线及以下,2010-06-01
O00000182,U003097,1-3岁,营养品,788.85,二线城市,2010-05-16
O00000183,U002771,1-3岁,服饰,107.06,二线城市,2010-05-02
O00000184,U001609,6-12月,玩具,250.56,一线城市,2010-07-22
O00000185,U004090,3-6岁,玩具,160.14,二线城市,2010-12-02
O00000186,U001907,3-6月,玩具,205.77,二线城市,2010-03-12
O00000187,U005628,3-6岁,玩具,209.32,二线城市,2010-04-15
O00000188,U001683,1-3岁,营养品,797.62,二线城市,2010-12-02
O00000189,U003366,孕期囤货,营养品,247.98,二线城市,2010-10-01
O00000190,U001214,孕期囤货,洗护用品,96.28,三线及以下,2010-11-02
O00000191,U002359,0-3月,服饰,96.53,三线及以下,2010-06-19
O00000192,U001417,1-3岁,洗护用品,60.95,三线及以下,2010-07-05
O00000193,U003109,6-12月,纸尿裤,126.07,二线城市,2010-12-06
O00000194,U005118,6-12月,纸尿裤,155.05,三线及以下,2010-05-12
O00000195,U001714,6-12月,纸尿裤,799.78,二线城市,2010-03-21
O00000196,U000408,1-3岁,营养品,894.78,二线城市,2010-06-03
O00000197,U005980,孕期囤货,洗护用品,81.85,二线城市,2010-01-23
O00000198,U001768,3-6岁,安全座椅,2426.43,二线城市,2010-08-05
O00000199,U001033,6-12月,奶粉,1455.2,二线城市,2010-12-26
O00000200,U003426,6-12月,奶粉,698.09,三线及以下,2010-12-13
O00000201,U003979,3-6岁,营养品,606.61,三线及以下,2010-12-08
O00000202,U005284,0-3月,洗护用品,70.61,三线及以下,2010-05-08
O00000203,U005036,3-6岁,营养品,319.9,一线城市,2010-11-05
O00000204,U001040,孕期囤货,洗护用品,83.73,三线及以下,2010-07-16
O00000205,U002039,孕期囤货,纸尿裤,241.23,三线及以下,2010-06-12
O00000206,U002964,3-6岁,服饰,66.92,三线及以下,2010-09-15
O00000207,U003627,1-3岁,辅食,498.17,二线城市,2010-05-12
O00000208,U002873,3-6岁,服饰,190.78,一线城市,2010-05-23
O00000209,U001089,6-12月,玩具,150.54,三线及以下,2010-02-13
O00000210,U003908,1-3岁,纸尿裤,88.45,二线城市,2010-05-22
O00000211,U004974,1-3岁,纸尿裤,643.92,一线城市,2010-12-21
O00000212,U000124,3-6岁,服饰,109.88,三线及以下,2010-11-10
O00000213,U000454,6-12月,奶粉,643.94,一线城市,2010-02-22
O00000214,U002206,1-3岁,辅食,97.86,三线及以下,2010-12-11
O00000215,U000489,1-3岁,纸尿裤,289.49,三线及以下,2010-08-02
O00000216,U001019,孕期囤货,奶粉,1284.46,三线及以下,2010-10-10
O00000217,U002829,3-6岁,营养品,281.03,三线及以下,2010-10-26
O00000218,U001731,6-12月,纸尿裤,129.56,三线及以下,2010-01-11
O00000219,U005883,0-3月,洗护用品,122.11,一线城市,2010-08-12
O00000220,U003233,3-6月,玩具,133.89,一线城市,2010-05-12
O00000221,U003845,6-12月,奶粉,1184.07,二线城市,2010-12-06
O00000222,U005905,3-6月,纸尿裤,333.42,一线城市,2010-08-13
O00000223,U003840,0-3月,纸尿裤,610.05,二线城市,2010-04-14
O00000224,U005090,1-3岁,奶粉,1212.66,一线城市,2010-04-19
O00000225,U004233,6-12月,奶粉,426.15,三线及以下,2010-08-23
O00000226,U002424,1-3岁,玩具,112.0,三线及以下,2010-03-24
O00000227,U001278,孕期囤货,奶粉,1380.53,三线及以下,2010-07-14
O00000228,U002292,3-6月,洗护用品,189.62,一线城市,2010-11-14
O00000229,U001423,3-6月,洗护用品,73.03,三线及以下,2010-11-07
O00000230,U001601,1-3岁,辅食,113.93,三线及以下,2010-06-28
O00000231,U003079,0-3月,营养品,949.11,三线及以下,2010-05-02
O00000232,U003245,1-3岁,玩具,118.08,二线城市,2010-11-19
O00000233,U004729,0-3月,洗护用品,106.07,二线城市,2010-12-08
O00000234,U004954,6-12月,玩具,174.67,三线及以下,2010-02-13
O00000235,U004919,6-12月,服饰,151.04,二线城市,2010-08-06
O00000236,U002229,0-3月,奶粉,821.68,三线及以下,2010-07-04
O00000237,U005080,3-6月,奶粉,1331.75,二线城市,2010-07-23
O00000238,U000481,6-12月,辅食,332.56,二线城市,2010-10-18
O00000239,U000570,孕期囤货,营养品,367.29,三线及以下,2010-02-10
O00000240,U001279,1-3岁,玩具,138.49,三线及以下,2010-03-26
O00000241,U004802,0-3月,洗护用品,133.8,一线城市,2010-08-07
O00000242,U000270,3-6岁,洗护用品,80.36,三线及以下,2010-05-20
O00000243,U001704,6-12月,营养品,141.0,二线城市,2010-12-25
O00000244,U005727,0-3月,纸尿裤,826.16,二线城市,2010-04-23
O00000245,U004552,孕期囤货,儿童安全床,2732.68,一线城市,2010-07-03
O00000246,U005628,3-6岁,服饰,231.27,二线城市,2010-06-17
O00000247,U001722,孕期囤货,营养品,189.45,二线城市,2010-05-21
O00000248,U005001,6-12月,奶粉,546.72,三线及以下,2010-11-04
O00000249,U000196,0-3月,奶粉,188.29,三线及以下,2010-06-20
O00000250,U005980,孕期囤货,婴儿车,1846.48,二线城市,2010-01-15
O00000251,U004082,3-6月,洗护用品,62.0,三线及以下,2010-09-12
O00000252,U002635,孕期囤货,奶粉,1231.15,三线及以下,2010-01-23
O00000253,U001623,6-12月,洗护用品,66.18,三线及以下,2010-12-16
O00000254,U000642,0-3月,纸尿裤,117.96,一线城市,2010-07-11
O00000255,U004709,0-3月,营养品,165.76,三线及以下,2010-09-17
O00000256,U005220,3-6岁,洗护用品,95.02,二线城市,2010-02-12
O00000257,U003410,3-6岁,玩具,191.79,二线城市,2010-02-18
O00000258,U005725,3-6月,奶粉,966.98,三线及以下,2010-05-14
O00000259,U000285,3-6月,辅食,275.8,三线及以下,2010-12-09
O00000260,U004325,0-3月,奶粉,2209.56,一线城市,2010-07-06
O00000261,U001573,3-6岁,服饰,205.42,一线城市,2010-07-27
O00000262,U000713,3-6月,营养品,880.69,一线城市,2010-04-15
O00000263,U005977,3-6岁,营养品,677.77,三线及以下,2010-02-10
O00000264,U003470,0-3月,奶粉,313.09,二线城市,2010-05-12
O00000265,U001895,3-6岁,玩具,182.67,一线城市,2010-08-26
O00000266,U001280,3-6月,洗护用品,106.02,二线城市,2010-05-12
O00000267,U002877,0-3月,洗护用品,55.85,二线城市,2010-03-19
O00000268,U000996,3-6岁,玩具,182.34,一线城市,2010-09-01
O00000269,U003107,6-12月,洗护用品,51.95,三线及以下,2010-10-11
O00000270,U005794,3-6月,奶粉,349.98,二线城市,2010-03-02
O00000271,U002304,6-12月,辅食,382.7,一线城市,2010-01-08
O00000272,U003923,3-6月,奶粉,286.04,三线及以下,2010-07-24
O00000273,U001553,6-12月,奶粉,378.13,三线及以下,2010-12-24
O00000274,U005018,3-6岁,玩具,145.67,二线城市,2010-08-25
O00000275,U001771,3-6岁,洗护用品,124.16,二线城市,2010-01-07
O00000276,U005904,孕期囤货,待产包,465.39,三线及以下,2010-10-07
O00000277,U004890,3-6岁,营养品,763.35,三线及以下,2010-04-03
O00000278,U000152,1-3岁,辅食,288.99,三线及以下,2010-10-04
O00000279,U002392,1-3岁,纸尿裤,1004.17,一线城市,2010-02-07
O00000280,U003402,6-12月,玩具,148.42,二线城市,2010-02-01
O00000281,U001155,1-3岁,奶粉,213.87,二线城市,2010-11-28
O00000282,U000463,6-12月,纸尿裤,748.18,二线城市,2010-06-01
O00000283,U002006,3-6岁,服饰,191.41,二线城市,2010-02-08
O00000284,U003197,3-6月,奶粉,2032.91,一线城市,2010-02-03
O00000285,U005457,6-12月,玩具,260.67,一线城市,2010-09-26
O00000286,U005301,0-3月,洗护用品,50.95,三线及以下,2010-11-16
O00000287,U003498,1-3岁,奶粉,1341.39,一线城市,2010-02-06
O00000288,U004867,3-6岁,奶粉,672.73,三线及以下,2010-10-16
O00000289,U001401,3-6月,奶粉,1648.93,一线城市,2010-03-02
O00000290,U003363,1-3岁,辅食,65.85,三线及以下,2010-07-02
O00000291,U003748,0-3月,纸尿裤,267.14,一线城市,2010-04-19
O00000292,U001458,6-12月,纸尿裤,733.53,三线及以下,2010-05-20
O00000293,U004978,1-3岁,玩具,105.39,三线及以下,2010-04-01
O00000294,U005313,0-3月,奶粉,1056.43,二线城市,2010-04-24
O00000295,U005862,0-3月,洗护用品,76.03,三线及以下,2010-04-07
O00000296,U002699,3-6岁,辅食,88.37,三线及以下,2010-09-01
O00000297,U001473,3-6岁,玩具,109.45,三线及以下,2010-01-23
O00000298,U001269,6-12月,玩具,124.11,一线城市,2010-04-27
O00000299,U003629,3-6岁,服饰,113.19,二线城市,2010-02-22
O00000300,U000227,3-6岁,营养品,228.34,三线及以下,2010-08-13
O00000301,U004318,3-6月,奶粉,1012.09,二线城市,2010-08-07
O00000302,U004373,孕期囤货,奶粉,165.1,三线及以下,2010-07-16
O00000303,U005359,0-3月,奶粉,550.69,三线及以下,2010-05-07
O00000304,U003116,1-3岁,奶粉,1238.64,一线城市,2010-06-15
O00000305,U000394,6-12月,纸尿裤,307.29,二线城市,2010-10-17
O00000306,U004237,1-3岁,营养品,474.43,一线城市,2010-04-24
O00000307,U001617,6-12月,玩具,212.53,一线城市,2010-05-08
O00000308,U000426,0-3月,奶粉,1765.28,一线城市,2010-05-11
O00000309,U004321,3-6岁,玩具,241.57,二线城市,2010-12-09
O00000310,U000309,孕期囤货,洗护用品,58.15,三线及以下,2010-01-16
O00000311,U002722,孕期囤货,待产包,593.04,三线及以下,2010-09-22
O00000312,U005702,6-12月,纸尿裤,851.53,一线城市,2010-03-24
O00000313,U005982,3-6月,洗护用品,51.09,三线及以下,2010-11-04
O00000314,U000659,1-3岁,营养品,238.55,三线及以下,2010-08-06
O00000315,U004887,1-3岁,玩具,115.56,三线及以下,2010-06-23
O00000316,U003432,孕期囤货,儿童安全床,3654.89,一线城市,2010-09-23
O00000317,U003371,0-3月,奶粉,505.78,二线城市,2010-06-16
O00000318,U003484,孕期囤货,安全座椅,1776.11,三线及以下,2010-09-09
O00000319,U003892,3-6月,洗护用品,100.87,三线及以下,2010-07-18
O00000320,U000390,孕期囤货,营养品,903.19,一线城市,2010-05-05
O00000321,U001017,3-6月,玩具,152.76,二线城市,2010-09-18
O00000322,U004683,1-3岁,服饰,102.35,一线城市,2010-07-13
O00000323,U001042,0-3月,洗护用品,92.3,二线城市,2010-07-26
O00000324,U004826,孕期囤货,洗护用品,97.1,二线城市,2010-01-02
O00000325,U001512,3-6月,营养品,1141.89,一线城市,2010-10-20
O00000326,U000645,3-6月,纸尿裤,118.72,二线城市,2010-05-15
O00000327,U002081,0-3月,纸尿裤,420.07,三线及以下,2010-01-16
O00000328,U000354,6-12月,纸尿裤,331.54,二线城市,2010-01-17
O00000329,U004221,3-6月,服饰,121.86,二线城市,2010-11-08
O00000330,U004868,3-6岁,玩具,103.83,三线及以下,2010-11-03
O00000331,U002809,0-3月,服饰,200.17,二线城市,2010-10-25
O00000332,U004991,6-12月,纸尿裤,458.11,三线及以下,2010-04-04
O00000333,U003464,3-6岁,玩具,126.73,三线及以下,2010-03-03
O00000334,U005137,6-12月,玩具,140.43,三线及以下,2010-07-10
O00000335,U002599,1-3岁,玩具,147.98,二线城市,2010-10-16
O00000336,U004541,孕期囤货,奶粉,1242.28,三线及以下,2010-02-08
O00000337,U003833,3-6岁,玩具,189.76,一线城市,2010-04-22
O00000338,U003758,3-6岁,营养品,194.62,二线城市,2010-05-13
O00000339,U001537,6-12月,纸尿裤,381.51,一线城市,2010-10-22
O00000340,U000523,1-3岁,辅食,252.54,三线及以下,2010-07-02
O00000341,U002642,3-6月,纸尿裤,826.03,一线城市,2010-03-22
O00000342,U002982,3-6月,服饰,108.64,二线城市,2010-07-14
O00000343,U004625,3-6岁,玩具,85.65,三线及以下,2010-11-20
O00000344,U005106,1-3岁,纸尿裤,156.46,一线城市,2010-05-04
O00000345,U005225,0-3月,服饰,111.73,二线城市,2010-08-06
O00000346,U002794,6-12月,奶粉,378.06,二线城市,2010-09-20
O00000347,U003811,3-6岁,玩具,93.74,三线及以下,2010-10-24
O00000348,U002272,6-12月,辅食,61.8,三线及以下,2010-08-12
O00000349,U002991,1-3岁,辅食,252.34,二线城市,2010-10-01
O00000350,U003993,3-6月,辅食,80.1,三线及以下,2010-06-04
O00000351,U001136,6-12月,纸尿裤,201.1,三线及以下,2010-06-15
O00000352,U002899,1-3岁,纸尿裤,261.24,三线及以下,2010-06-23
O00000353,U000619,3-6岁,辅食,705.29,二线城市,2010-10-20
O00000354,U001416,孕期囤货,洗护用品,58.95,三线及以下,2010-01-20
O00000355,U004145,6-12月,玩具,194.13,一线城市,2010-10-28
O00000356,U001444,6-12月,纸尿裤,355.14,三线及以下,2010-04-08
O00000357,U000888,1-3岁,纸尿裤,310.41,三线及以下,2010-08-24
O00000358,U005412,6-12月,辅食,190.04,三线及以下,2010-07-27
O00000359,U003716,3-6岁,营养品,1361.29,一线城市,2010-07-05
O00000360,U001356,1-3岁,辅食,45.64,三线及以下,2010-12-19
O00000361,U005327,3-6岁,洗护用品,91.05,二线城市,2010-01-17
O00000362,U001055,1-3岁,辅食,192.36,三线及以下,2010-05-06
O00000363,U001075,6-12月,服饰,212.17,三线及以下,2010-02-05
O00000364,U002006,3-6岁,服饰,192.67,二线城市,2010-04-03
O00000365,U005681,0-3月,奶粉,1333.41,一线城市,2010-01-05
O00000366,U005898,1-3岁,奶粉,438.02,三线及以下,2010-12-27
O00000367,U002359,0-3月,纸尿裤,107.98,三线及以下,2010-07-01
O00000368,U005480,1-3岁,纸尿裤,84.29,三线及以下,2010-05-11
O00000369,U004495,3-6月,玩具,215.32,二线城市,2010-12-15
O00000370,U003282,6-12月,玩具,217.16,一线城市,2010-03-06
O00000371,U001684,孕期囤货,安全座椅,2527.03,二线城市,2010-12-09
O00000372,U001255,孕期囤货,安全座椅,1712.31,三线及以下,2010-06-07
O00000373,U004853,3-6岁,玩具,201.12,二线城市,2010-06-23
O00000374,U004984,0-3月,纸尿裤,485.05,一线城市,2010-12-04
O00000375,U005337,6-12月,服饰,162.26,一线城市,2010-03-13
O00000376,U004211,1-3岁,纸尿裤,655.48,一线城市,2010-04-22
O00000377,U005024,1-3岁,玩具,169.14,二线城市,2010-11-01
O00000378,U000144,6-12月,奶粉,810.64,一线城市,2010-02-16
O00000379,U004409,1-3岁,辅食,273.29,三线及以下,2010-08-06
O00000380,U001097,3-6月,纸尿裤,201.12,一线城市,2010-06-19
O00000381,U000019,6-12月,玩具,235.82,一线城市,2010-04-21
O00000382,U002351,3-6岁,营养品,916.17,二线城市,2010-02-12
O00000383,U002132,1-3岁,辅食,377.58,一线城市,2010-12-11
O00000384,U004940,孕期囤货,待产包,811.93,二线城市,2010-10-02
