user_id,age_stage,city_tier,income_level
U000121,3-6岁,二线城市,中等收入
U000122,3-6月,三线及以下,高收入
U000123,3-6岁,三线及以下,中高收入
U000124,3-6岁,三线及以下,中等收入
U000125,孕期囤货,二线城市,高收入
U000126,6-12月,二线城市,中高收入
U000127,6-12月,三线及以下,中低收入
U000128,孕期囤货,三线及以下,中高收入
U000129,6-12月,三线及以下,中等收入
U000130,孕期囤货,二线城市,中低收入
U000131,1-3岁,一线城市,中高收入
U000132,孕期囤货,二线城市,高收入
U000133,3-6岁,二线城市,中等收入
U000134,1-3岁,二线城市,中高收入
U000135,孕期囤货,二线城市,中等收入
U000136,孕期囤货,一线城市,高收入
U000137,孕期囤货,一线城市,高收入
U000138,3-6月,三线及以下,中高收入
U000139,孕期囤货,二线城市,中高收入
U000140,3-6月,三线及以下,中等收入
U000141,0-3月,三线及以下,中高收入
U000142,3-6月,二线城市,中等收入
U000143,3-6岁,一线城市,中低收入
U000144,6-12月,一线城市,中高收入
U000145,3-6岁,三线及以下,中等收入
U000146,0-3月,二线城市,中等收入
U000147,孕期囤货,一线城市,中等收入
U000148,3-6月,二线城市,中高收入
U000149,1-3岁,二线城市,中高收入
U000150,6-12月,三线及以下,中等收入
U000151,6-12月,三线及以下,中等收入
U000152,1-3岁,三线及以下,中等收入
U000153,0-3月,二线城市,中低收入
U000154,0-3月,二线城市,中等收入
U000155,3-6月,二线城市,中高收入
U000156,0-3月,三线及以下,中低收入
U000157,3-6月,二线城市,中低收入
U000158,1-3岁,一线城市,中高收入
U000159,3-6月,三线及以下,中高收入
U000160,6-12月,二线城市,高收入
U000161,1-3岁,三线及以下,中高收入
U000162,3-6岁,二线城市,中等收入
U000163,0-3月,二线城市,高收入
U000164,3-6岁,一线城市,中等收入
U000165,3-6岁,三线及以下,中等收入
U000166,3-6月,一线城市,中等收入
U000167,3-6岁,三线及以下,中高收入
U000168,3-6月,二线城市,高收入
U000169,0-3月,二线城市,高收入
U000170,6-12月,一线城市,中高收入
U000171,1-3岁,三线及以下,中高收入
U000172,3-6月,二线城市,中等收入
U000173,孕期囤货,二线城市,中高收入
U000174,1-3岁,二线城市,高收入
U000175,0-3月,三线及以下,中等收入
U000176,6-12月,一线城市,中等收入
U000177,3-6岁,三线及以下,中等收入
U000178,0-3月,三线及以下,中高收入
U000179,3-6岁,一线城市,中等收入
U000180,1-3岁,三线及以下,中高收入
U000181,0-3月,一线城市,中高收入
U000182,1-3岁,一线城市,中高收入
U000183,3-6岁,一线城市,中等收入
U000184,孕期囤货,三线及以下,高收入
U000185,1-3岁,二线城市,高收入
U000186,孕期囤货,二线城市,中高收入
U000187,孕期囤货,三线及以下,中等收入
U000188,3-6岁,三线及以下,中高收入
U000189,6-12月,二线城市,中高收入
U000190,孕期囤货,一线城市,中低收入
U000191,1-3岁,三线及以下,高收入
U000192,1-3岁,三线及以下,中等收入
U000193,1-3岁,一线城市,高收入
U000194,0-3月,三线及以下,中等收入
U000195,6-12月,二线城市,中高收入
U000196,0-3月,三线及以下,高收入
U000197,3-6月,一线城市,高收入
U000198,3-6月,三线及以下,中高收入
U000199,1-3岁,二线城市,中等收入
U000200,0-3月,二线城市,中低收入
U000201,0-3月,三线及以下,高收入
U000202,1-3岁,二线城市,中高收入
U000203,0-3月,二线城市,高收入
U000204,3-6月,三线及以下,中低收入
U000205,孕期囤货,三线及以下,中等收入
U000206,1-3岁,三线及以下,高收入
U000207,孕期囤货,一线城市,中高收入
U000208,3-6月,三线及以下,中高收入
U000209,0-3月,三线及以下,中等收入
U000210,孕期囤货,三线及以下,中等收入
U000211,3-6岁,三线及以下,中等收入
U000212,3-6月,二线城市,中等收入
U000213,3-6岁,一线城市,中低收入
U000214,6-12月,三线及以下,中低收入
U000215,1-3岁,二线城市,中等收入
U000216,6-12月,二线城市,中等收入
U000217,3-6岁,一线城市,高收入
U000218,3-6月,二线城市,中等收入
U000219,3-6岁,一线城市,中高收入
U000220,3-6岁,一线城市,中高收入
U000221,3-6岁,二线城市,高收入
U000222,6-12月,三线及以下,中高收入
U000223,孕期囤货,一线城市,中高收入
U000224,3-6岁,一线城市,中低收入
U000225,0-3月,三线及以下,中高收入
U000226,孕期囤货,三线及以下,高收入
U000227,3-6岁,三线及以下,中低收入
U000228,0-3月,三线及以下,中低收入
U000229,6-12月,三线及以下,中高收入
U000230,孕期囤货,二线城市,中等收入
U000231,1-3岁,二线城市,中高收入
U000232,6-12月,二线城市,中低收入
U000233,0-3月,二线城市,中等收入
U000234,1-3岁,三线及以下,中高收入
U000235,3-6岁,三线及以下,中高收入
U000236,3-6月,二线城市,中等收入
U000237,1-3岁,三线及以下,高收入
U000238,3-6月,一线城市,中等收入
U000239,0-3月,二线城市,中等收入
U000240,0-3月,二线城市,中等收入
U000241,3-6岁,三线及以下,中低收入
U000242,1-3岁,二线城市,中低收入
U000243,6-12月,二线城市,中高收入
U000244,孕期囤货,一线城市,中高收入
U000245,6-12月,三线及以下,中高收入
U000246,1-3岁,二线城市,中等收入
U000247,0-3月,三线及以下,中等收入
U000248,3-6月,三线及以下,中等收入
U000249,孕期囤货,二线城市,中等收入
U000250,孕期囤货,三线及以下,中高收入
U000251,0-3月,一线城市,中高收入
U000252,孕期囤货,二线城市,中高收入
U000253,0-3月,三线及以下,高收入
U000254,6-12月,二线城市,中高收入
U000255,孕期囤货,二线城市,高收入
U000256,3-6岁,二线城市,中等收入
U000257,3-6岁,三线及以下,中低收入
U000258,孕期囤货,一线城市,中高收入
U000259,0-3月,三线及以下,中低收入
U000260,6-12月,一线城市,中低收入
U000261,1-3岁,一线城市,中高收入
U000262,孕期囤货,二线城市,中等收入
U000263,3-6月,三线及以下,中等收入
U000264,孕期囤货,二线城市,中低收入
U000265,0-3月,二线城市,中等收入
U000266,孕期囤货,一线城市,中等收入
U000267,孕期囤货,三线及以下,中高收入
U000268,1-3岁,三线及以下,中低收入
U000269,6-12月,二线城市,中等收入
U000270,3-6岁,三线及以下,中等收入
U000271,3-6月,一线城市,中低收入
U000272,1-3岁,二线城市,中高收入
U000273,3-6月,三线及以下,中高收入
U000274,6-12月,一线城市,中低收入
U000275,1-3岁,三线及以下,中等收入
U000276,3-6月,一线城市,中高收入
U000277,6-12月,二线城市,中高收入
U000278,0-3月,三线及以下,中高收入
U000279,3-6月,二线城市,中低收入
U000280,1-3岁,一线城市,中等收入
U000281,3-6月,二线城市,中高收入
U000282,6-12月,三线及以下,中低收入
U000283,3-6岁,三线及以下,中等收入
U000284,1-3岁,二线城市,高收入
U000285,3-6月,三线及以下,中等收入
U000286,3-6月,二线城市,中高收入
U000287,0-3月,一线城市,高收入
U000288,孕期囤货,三线及以下,中高收入
U000289,0-3月,一线城市,中低收入
U000290,孕期囤货,三线及以下,中高收入
U000291,6-12月,二线城市,中等收入
U000292,3-6岁,二线城市,中高收入
U000293,6-12月,三线及以下,中等收入
U000294,3-6岁,一线城市,中高收入
U000295,3-6岁,二线城市,中高收入
U000296,3-6岁,二线城市,中等收入
U000297,1-3岁,三线及以下,中等收入
U000298,3-6月,二线城市,中等收入
U000299,1-3岁,二线城市,高收入
U000300,1-3岁,二线城市,高收入
U000301,1-3岁,三线及以下,中等收入
U000302,1-3岁,二线城市,中低收入
U000303,1-3岁,三线及以下,中高收入
U000304,6-12月,二线城市,中低收入
U000305,3-6月,一线城市,中等收入
U000306,3-6月,三线及以下,中高收入
U000307,孕期囤货,三线及以下,中高收入
U000308,1-3岁,一线城市,中等收入
U000309,孕期囤货,三线及以下,中等收入
U000310,6-12月,二线城市,中等收入
U000311,3-6月,二线城市,中高收入
U000312,3-6月,二线城市,中高收入
U000313,3-6月,三线及以下,中高收入
U000314,孕期囤货,三线及以下,中低收入
U000315,0-3月,二线城市,中高收入
U000316,3-6月,三线及以下,中等收入
U000317,3-6岁,二线城市,中等收入
U000318,1-3岁,二线城市,中高收入
U000319,1-3岁,二线城市,中等收入
U000320,3-6月,一线城市,中高收入
U000321,1-3岁,二线城市,中高收入
U000322,1-3岁,二线城市,中低收入
U000323,3-6岁,三线及以下,中高收入
U000324,6-12月,二线城市,中低收入
U000325,3-6月,一线城市,高收入
U000326,3-6月,一线城市,高收入
U000327,6-12月,二线城市,中等收入
U000328,孕期囤货,二线城市,中高收入
U000329,1-3岁,三线及以下,中高收入
U000330,3-6岁,三线及以下,中高收入
U000331,0-3月,一线城市,高收入
U000332,3-6岁,三线及以下,中等收入
U000333,0-3月,一线城市,中等收入
U000334,1-3岁,三线及以下,中低收入
U000335,6-12月,一线城市,中等收入
U000336,3-6月,三线及以下,中等收入
U000337,1-3岁,一线城市,中低收入
U000338,0-3月,三线及以下,中高收入
U000339,孕期囤货,一线城市,中等收入
U000340,孕期囤货,三线及以下,中等收入
U000341,6-12月,三线及以下,中等收入
U000342,0-3月,三线及以下,中等收入
U000343,6-12月,一线城市,中低收入
U000344,3-6月,一线城市,中高收入
U000345,3-6岁,二线城市,中高收入
U000346,孕期囤货,二线城市,中低收入
U000347,3-6月,一线城市,高收入
U000348,1-3岁,一线城市,中等收入
U000349,1-3岁,二线城市,中高收入
U000350,3-6岁,一线城市,中等收入
U000351,6-12月,二线城市,中低收入
U000352,孕期囤货,一线城市,中高收入
U000353,3-6月,二线城市,中等收入
U000354,6-12月,二线城市,中高收入
U000355,6-12月,二线城市,中高收入
U000356,1-3岁,三线及以下,中等收入
U000357,6-12月,二线城市,中低收入
U000358,3-6月,二线城市,中低收入
U000359,0-3月,二线城市,中等收入
U000360,孕期囤货,三线及以下,中等收入
U000361,6-12月,一线城市,中高收入
U000362,1-3岁,二线城市,中等收入
U000363,3-6岁,三线及以下,中高收入
U000364,孕期囤货,三线及以下,中等收入
U000365,1-3岁,三线及以下,中等收入
U000366,孕期囤货,一线城市,中等收入
U000367,1-3岁,三线及以下,中高收入
U000368,6-12月,一线城市,中高收入
U000369,1-3岁,二线城市,高收入
U000370,0-3月,一线城市,中低收入
U000371,6-12月,一线城市,中高收入
U000372,3-6月,三线及以下,中高收入
U000373,6-12月,二线城市,中低收入
U000374,3-6岁,二线城市,中等收入
U000375,6-12月,一线城市,中等收入
U000376,0-3月,二线城市,中等收入
U000377,0-3月,三线及以下,中高收入
U000378,0-3月,二线城市,高收入
U000379,0-3月,二线城市,中高收入
U000380,6-12月,三线及以下,中高收入
U000381,1-3岁,三线及以下,中等收入
U000382,6-12月,二线城市,中高收入
U000383,3-6岁,一线城市,中等收入
U000384,0-3月,一线城市,高收入
U000385,0-3月,三线及以下,中高收入
U000386,6-12月,三线及以下,中低收入
U000387,孕期囤货,一线城市,中高收入
U000388,孕期囤货,三线及以下,中等收入
U000389,0-3月,一线城市,中等收入
U000390,孕期囤货,一线城市,高收入
U000391,1-3岁,二线城市,中低收入
U000392,3-6岁,三线及以下,中高收入
U000393,6-12月,二线城市,中等收入
U000394,6-12月,二线城市,高收入
U000395,3-6月,二线城市,高收入
U000396,0-3月,二线城市,高收入
U000397,3-6月,二线城市,中等收入
U000398,6-12月,一线城市,中高收入
U000399,6-12月,三线及以下,中等收入
U000400,孕期囤货,一线城市,中高收入
U000401,0-3月,三线及以下,高收入
U000402,0-3月,一线城市,中低收入
U000403,3-6月,二线城市,中低收入
U000404,3-6岁,一线城市,中高收入
U000405,1-3岁,三线及以下,中高收入
U000406,6-12月,一线城市,高收入
U000407,3-6月,一线城市,高收入
U000408,1-3岁,二线城市,中等收入
U000409,1-3岁,二线城市,中等收入
U000410,3-6岁,一线城市,中高收入
U000411,6-12月,三线及以下,中等收入
U000412,0-3月,二线城市,中高收入
U000413,0-3月,三线及以下,中高收入
U000414,1-3岁,二线城市,中高收入
U000415,3-6岁,三线及以下,中等收入
U000416,孕期囤货,二线城市,中高收入
U000417,3-6岁,一线城市,高收入
U000418,6-12月,三线及以下,高收入
U000419,0-3月,一线城市,中高收入
U000420,3-6岁,一线城市,中高收入
U000421,6-12月,三线及以下,中等收入
U000422,3-6岁,三线及以下,中低收入
U000423,6-12月,三线及以下,中等收入
U000424,6-12月,三线及以下,中等收入
U000425,3-6月,三线及以下,中等收入
U000426,0-3月,一线城市,中等收入
U000427,0-3月,三线及以下,中高收入
U000428,3-6岁,二线城市,中高收入
U000429,1-3岁,三线及以下,中等收入
U000430,0-3月,三线及以下,中高收入
U000431,0-3月,三线及以下,中高收入
U000432,6-12月,二线城市,中等收入
U000433,6-12月,三线及以下,中高收入
U000434,3-6岁,一线城市,中低收入
U000435,1-3岁,一线城市,中等收入
U000436,孕期囤货,一线城市,高收入
U000437,3-6月,一线城市,中等收入
U000438,3-6月,三线及以下,中等收入
U000439,0-3月,一线城市,中等收入
U000440,孕期囤货,二线城市,中高收入
U000441,1-3岁,三线及以下,中高收入
U000442,3-6岁,二线城市,中等收入
U000443,0-3月,一线城市,中高收入
U000444,3-6岁,一线城市,中高收入
U000445,孕期囤货,三线及以下,中等收入
U000446,3-6月,一线城市,中低收入
U000447,孕期囤货,一线城市,中低收入
U000448,1-3岁,一线城市,高收入
U000449,3-6岁,一线城市,中高收入
U000450,孕期囤货,一线城市,中高收入
U000451,3-6月,三线及以下,中等收入
U000452,孕期囤货,二线城市,中高收入
U000453,1-3岁,三线及以下,中等收入
U000454,6-12月,一线城市,中等收入
U000455,孕期囤货,三线及以下,高收入
U000456,孕期囤货,三线及以下,中等收入
U000457,3-6岁,三线及以下,中等收入
U000458,3-6月,一线城市,中等收入
U000459,3-6月,一线城市,中等收入
U000460,1-3岁,二线城市,中等收入
U000461,3-6月,三线及以下,中低收入
U000462,0-3月,二线城市,中高收入
U000463,6-12月,二线城市,中等收入
U000464,1-3岁,三线及以下,高收入
U000465,孕期囤货,二线城市,高收入
U000466,3-6岁,一线城市,高收入
U000467,孕期囤货,三线及以下,中高收入
U000468,3-6月,三线及以下,中低收入
U000469,3-6岁,一线城市,中高收入
U000470,0-3月,三线及以下,中等收入
U000471,3-6月,三线及以下,中高收入
U000472,孕期囤货,三线及以下,中等收入
U000473,3-6岁,二线城市,中等收入
U000474,0-3月,三线及以下,中等收入
U000475,1-3岁,三线及以下,中等收入
U000476,1-3岁,二线城市,中低收入
U000477,6-12月,三线及以下,中等收入
U000478,孕期囤货,一线城市,中高收入
U000479,6-12月,二线城市,中高收入
U000480,3-6岁,一线城市,中高收入
U000481,6-12月,二线城市,中等收入
U000482,3-6岁,二线城市,中等收入
U000483,孕期囤货,一线城市,高收入
U000484,0-3月,三线及以下,中等收入
U000485,3-6岁,一线城市,中等收入
U000486,3-6月,一线城市,中等收入
U000487,孕期囤货,二线城市,中等收入
U000488,1-3岁,一线城市,中高收入
U000489,1-3岁,三线及以下,中等收入
U000490,6-12月,一线城市,高收入
U000491,0-3月,三线及以下,中高收入
U000492,3-6岁,三线及以下,中高收入
U000493,孕期囤货,二线城市,中等收入
U000494,3-6岁,二线城市,高收入
U000495,孕期囤货,三线及以下,中等收入
U000496,0-3月,三线及以下,中等收入
U000497,孕期囤货,二线城市,中低收入
U000498,3-6月,二线城市,中高收入
U000499,0-3月,二线城市,中低收入
U000500,6-12月,二线城市,中等收入
U000501,0-3月,一线城市,中等收入
U000502,1-3岁,三线及以下,中高收入
U000503,孕期囤货,二线城市,中高收入
U000504,1-3岁,一线城市,中等收入
U000505,3-6月,一线城市,中等收入
U000506,3-6岁,二线城市,中高收入
U000507,3-6岁,二线城市,中等收入
U000508,3-6岁,三线及以下,中等收入
U000509,3-6月,一线城市,中等收入
U000510,孕期囤货,三线及以下,高收入
U000511,0-3月,二线城市,中低收入
U000512,6-12月,一线城市,中低收入
U000513,0-3月,一线城市,中高收入
U000514,1-3岁,三线及以下,中低收入
U000515,3-6岁,一线城市,中等收入
U000516,3-6月,三线及以下,中低收入
U000517,孕期囤货,一线城市,高收入
U000518,孕期囤货,三线及以下,高收入
U000519,1-3岁,三线及以下,中高收入
U000520,孕期囤货,一线城市,中等收入
U000521,孕期囤货,一线城市,高收入
U000522,6-12月,三线及以下,中低收入
U000523,1-3岁,三线及以下,中等收入
U000524,孕期囤货,三线及以下,中等收入
U000525,3-6月,二线城市,中高收入
U000526,孕期囤货,三线及以下,中低收入
U000527,0-3月,三线及以下,中等收入
U000528,0-3月,一线城市,高收入
U000529,1-3岁,二线城市,高收入
U000530,3-6月,一线城市,中高收入
U000531,6-12月,二线城市,高收入
U000532,6-12月,三线及以下,中高收入
U000533,6-12月,二线城市,高收入
U000534,0-3月,一线城市,中高收入
U000535,1-3岁,二线城市,中等收入
U000536,孕期囤货,一线城市,中高收入
U000537,3-6月,一线城市,中高收入
U000538,3-6岁,三线及以下,中等收入
U000539,3-6月,三线及以下,中高收入
U000540,1-3岁,二线城市,中高收入
U000541,0-3月,二线城市,中等收入
U000542,1-3岁,三线及以下,高收入
U000543,3-6岁,三线及以下,中等收入
U000544,1-3岁,二线城市,中高收入
U000545,3-6月,二线城市,中高收入
U000546,孕期囤货,三线及以下,中等收入
U000547,1-3岁,三线及以下,中等收入
U000548,3-6岁,三线及以下,中等收入
U000549,3-6岁,一线城市,中等收入
U000550,3-6岁,一线城市,高收入
U000551,6-12月,一线城市,中等收入
U000552,3-6月,一线城市,高收入
U000553,3-6月,三线及以下,中等收入
U000554,0-3月,三线及以下,中等收入
U000555,3-6月,三线及以下,中等收入
U000556,孕期囤货,一线城市,高收入
U000557,3-6岁,三线及以下,中高收入
U000558,1-3岁,二线城市,中等收入
U000559,6-12月,一线城市,高收入
U000560,6-12月,一线城市,中高收入
U000561,孕期囤货,一线城市,中高收入
U000562,6-12月,二线城市,中低收入
U000563,3-6月,三线及以下,中高收入
U000564,3-6岁,一线城市,中低收入
U000565,1-3岁,一线城市,中等收入
U000566,0-3月,二线城市,中等收入
U000567,1-3岁,三线及以下,中高收入
U000568,1-3岁,一线城市,高收入
U000569,3-6岁,二线城市,中等收入
U000570,孕期囤货,三线及以下,高收入
U000571,3-6月,三线及以下,中等收入
U000572,1-3岁,三线及以下,中高收入
U000573,0-3月,三线及以下,中低收入
U000574,3-6月,二线城市,中等收入
U000575,孕期囤货,三线及以下,中高收入
U000576,3-6岁,二线城市,中高收入
U000577,0-3月,二线城市,高收入
U000578,1-3岁,一线城市,中高收入
U000579,0-3月,三线及以下,中等收入
U000580,3-6月,一线城市,中等收入
U000581,1-3岁,二线城市,高收入
U000582,0-3月,二线城市,中等收入
U000583,0-3月,二线城市,高收入
U000584,1-3岁,三线及以下,中等收入
U000585,1-3岁,一线城市,中等收入
U000586,1-3岁,一线城市,高收入
U000587,6-12月,一线城市,中低收入
U000588,1-3岁,一线城市,中等收入
U000589,6-12月,二线城市,中等收入
U000590,6-12月,三线及以下,中高收入
U000591,6-12月,二线城市,中低收入
U000592,6-12月,二线城市,中等收入
U000593,6-12月,一线城市,中高收入
U000594,0-3月,三线及以下,高收入
U000595,3-6岁,三线及以下,高收入
U000596,0-3月,三线及以下,中低收入
U000597,3-6岁,三线及以下,中等收入
U000598,0-3月,一线城市,中等收入
U000599,1-3岁,三线及以下,高收入
U000600,3-6岁,二线城市,中高收入
U000601,孕期囤货,三线及以下,中等收入
U000602,1-3岁,一线城市,中等收入
U000603,3-6月,一线城市,高收入
U000604,6-12月,二线城市,中等收入
U000605,1-3岁,一线城市,中高收入
U000606,孕期囤货,二线城市,中等收入
U000607,3-6月,三线及以下,中低收入
U000608,3-6岁,二线城市,中高收入
U000609,孕期囤货,三线及以下,中等收入
U000610,3-6月,二线城市,中高收入
U000611,孕期囤货,二线城市,中高收入
U000612,孕期囤货,三线及以下,高收入
U000613,0-3月,二线城市,中等收入
U000614,孕期囤货,三线及以下,中高收入
U000615,3-6岁,二线城市,中高收入
U000616,1-3岁,三线及以下,中低收入
U000617,3-6月,一线城市,中高收入
U000618,6-12月,二线城市,中等收入
U000619,3-6岁,二线城市,中等收入
U000620,0-3月,二线城市,中高收入
U000621,3-6月,三线及以下,中高收入
U000622,3-6月,三线及以下,中低收入
U000623,孕期囤货,三线及以下,中等收入
U000624,0-3月,一线城市,中低收入
U000625,0-3月,一线城市,中低收入
U000626,0-3月,二线城市,中低收入
U000627,0-3月,二线城市,中等收入
U000628,1-3岁,三线及以下,高收入
U000629,0-3月,三线及以下,中等收入
U000630,3-6月,一线城市,中高收入
U000631,0-3月,二线城市,中低收入
U000632,6-12月,一线城市,中等收入
U000633,孕期囤货,三线及以下,中高收入
U000634,1-3岁,三线及以下,中等收入
U000635,0-3月,二线城市,中高收入
U000636,1-3岁,二线城市,高收入
U000637,孕期囤货,二线城市,中高收入
U000638,孕期囤货,三线及以下,中等收入
U000639,6-12月,三线及以下,中等收入
U000640,3-6岁,三线及以下,中等收入
U000641,3-6月,三线及以下,中高收入
U000642,0-3月,一线城市,高收入
U000643,0-3月,三线及以下,中等收入
U000644,孕期囤货,三线及以下,中等收入
U000645,3-6月,二线城市,中等收入
U000646,孕期囤货,三线及以下,中高收入
U000647,1-3岁,二线城市,高收入
U000648,0-3月,二线城市,高收入
U000649,0-3月,三线及以下,中等收入
U000650,3-6月,三线及以下,中低收入
U000651,1-3岁,一线城市,中高收入
U000652,3-6月,三线及以下,中低收入
U000653,孕期囤货,三线及以下,中高收入
U000654,3-6月,二线城市,中低收入
U000655,1-3岁,二线城市,中等收入
U000656,3-6岁,二线城市,中等收入
U000657,1-3岁,三线及以下,中等收入
U000658,1-3岁,二线城市,高收入
U000659,1-3岁,三线及以下,中高收入
U000660,3-6岁,三线及以下,中低收入
U000661,3-6岁,一线城市,高收入
U000662,6-12月,一线城市,中高收入
U000663,6-12月,二线城市,中低收入
U000664,3-6月,二线城市,中等收入
U000665,1-3岁,一线城市,高收入
U000666,0-3月,二线城市,中高收入
U000667,3-6岁,二线城市,中低收入
U000668,孕期囤货,一线城市,中等收入
U000669,6-12月,一线城市,中高收入
U000670,6-12月,二线城市,中高收入
U000671,1-3岁,一线城市,中高收入
U000672,3-6岁,三线及以下,中高收入
U000673,0-3月,一线城市,中高收入
U000674,1-3岁,三线及以下,中高收入
U000675,1-3岁,二线城市,高收入
U000676,6-12月,一线城市,高收入
U000677,0-3月,二线城市,中等收入
U000678,3-6岁,一线城市,中低收入
U000679,6-12月,三线及以下,中高收入
U000680,3-6月,三线及以下,中高收入
U000681,孕期囤货,二线城市,高收入
U000682,孕期囤货,三线及以下,中低收入
U000683,0-3月,二线城市,中高收入
U000684,3-6月,二线城市,中低收入
U000685,0-3月,三线及以下,中高收入
U000686,3-6岁,一线城市,中等收入
U000687,6-12月,三线及以下,中高收入
U000688,孕期囤货,一线城市,高收入
U000689,3-6月,三线及以下,高收入
U000690,6-12月,二线城市,中高收入
U000691,1-3岁,二线城市,中等收入
U000692,3-6月,三线及以下,中等收入
U000693,6-12月,二线城市,高收入
U000694,3-6岁,三线及以下,中高收入
U000695,孕期囤货,三线及以下,中高收入
U000696,3-6岁,三线及以下,中高收入
U000697,孕期囤货,二线城市,中高收入
U000698,6-12月,三线及以下,中等收入
U000699,1-3岁,三线及以下,中高收入
U000700,3-6月,二线城市,中等收入
U000701,3-6月,三线及以下,中高收入
