loyalty_id,user_id,category,brand,stay_months,switched,switch_to_date
L0000140,U003214,纸尿裤,妈咪宝贝,1,0,
L0000141,U002221,纸尿裤,好奇,14,0,
L0000142,U002763,纸尿裤,花王,14,0,
L0000143,U003586,纸尿裤,花王,10,1,2018-01-15
L0000144,U003403,纸尿裤,帮宝适,13,0,
L0000145,U000566,纸尿裤,妈咪宝贝,1,1,2023-11-15
L0000146,U005922,纸尿裤,好奇,2,1,2024-11-15
L0000147,U002397,纸尿裤,好奇,23,0,
L0000148,U000187,纸尿裤,好奇,7,1,2018-07-15
L0000149,U001441,纸尿裤,好奇,15,1,2020-09-15
L0000150,U003201,纸尿裤,花王,4,0,
L0000151,U000549,纸尿裤,好奇,9,1,2020-08-15
L0000152,U004034,纸尿裤,好奇,19,0,
L0000153,U002571,纸尿裤,妈咪宝贝,4,0,
L0000154,U001982,纸尿裤,大王,11,1,2024-12-15
L0000155,U004389,纸尿裤,妈咪宝贝,6,0,
L0000156,U003672,纸尿裤,大王,10,1,2024-06-15
L0000157,U004157,纸尿裤,大王,6,1,2021-03-15
L0000158,U002168,纸尿裤,妈咪宝贝,4,1,2019-01-15
L0000159,U002777,纸尿裤,好奇,13,0,
L0000160,U003753,纸尿裤,大王,3,1,2020-10-15
L0000161,U003620,纸尿裤,帮宝适,2,1,2018-04-15
L0000162,U000612,纸尿裤,帮宝适,5,0,
L0000163,U005685,纸尿裤,好奇,11,0,
L0000164,U001244,纸尿裤,帮宝适,5,1,2022-01-15
L0000165,U005074,纸尿裤,好奇,13,0,
L0000166,U000886,纸尿裤,妈咪宝贝,11,0,
L0000167,U005606,纸尿裤,大王,6,0,
L0000168,U001245,纸尿裤,帮宝适,8,1,2020-06-15
L0000169,U001419,纸尿裤,大王,2,0,
L0000170,U000942,纸尿裤,露安适,9,0,
L0000171,U000199,纸尿裤,妈咪宝贝,8,0,
L0000172,U001731,纸尿裤,花王,14,1,2023-02-15
L0000173,U002323,纸尿裤,大王,7,1,2019-08-15
L0000174,U005729,纸尿裤,帮宝适,6,1,2019-05-15
L0000175,U004093,纸尿裤,花王,5,0,
L0000176,U005709,纸尿裤,帮宝适,5,1,2021-02-15
L0000177,U005923,纸尿裤,好奇,10,1,2019-04-15
L0000178,U001447,纸尿裤,花王,7,0,
L0000179,U003085,纸尿裤,花王,7,0,
L0000180,U004721,纸尿裤,妈咪宝贝,13,1,2024-12-15
L0000181,U001130,纸尿裤,大王,8,0,
L0000182,U001604,纸尿裤,帮宝适,7,1,2023-08-15
L0000183,U000285,纸尿裤,花王,10,1,2024-01-15
L0000184,U000363,纸尿裤,帮宝适,20,1,2023-03-15
L0000185,U003005,纸尿裤,花王,7,1,2020-09-15
L0000186,U004185,纸尿裤,好奇,16,0,
L0000187,U004602,纸尿裤,妈咪宝贝,7,0,
L0000188,U000546,纸尿裤,大王,13,0,
L0000189,U003474,纸尿裤,大王,8,1,2021-08-15
L0000190,U000828,纸尿裤,大王,3,1,2021-05-15
L0000191,U000442,纸尿裤,好奇,8,0,
L0000192,U004373,纸尿裤,花王,7,1,2019-11-15
L0000193,U002975,纸尿裤,好奇,5,0,
L0000194,U004713,纸尿裤,妈咪宝贝,8,0,
L0000195,U005117,纸尿裤,花王,11,1,2019-07-15
L0000196,U002670,纸尿裤,花王,2,1,2021-11-15
L0000197,U001915,纸尿裤,帮宝适,12,1,2019-10-15
L0000198,U003692,纸尿裤,露安适,8,0,
L0000199,U004507,纸尿裤,花王,2,0,
L0000200,U000470,纸尿裤,好奇,14,0,
L0000201,U005034,纸尿裤,花王,32,0,
L0000202,U001189,纸尿裤,花王,5,1,2022-05-15
L0000203,U001961,纸尿裤,花王,24,0,
L0000204,U005174,纸尿裤,好奇,10,0,
L0000205,U001972,纸尿裤,露安适,6,1,2020-02-15
L0000206,U005679,纸尿裤,帮宝适,6,1,2022-11-15
L0000207,U005571,纸尿裤,好奇,9,0,
L0000208,U003675,纸尿裤,露安适,6,1,2024-03-15
L0000209,U000439,纸尿裤,花王,6,1,2019-06-15
L0000210,U004505,纸尿裤,好奇,10,1,2020-07-15
L0000211,U003687,纸尿裤,好奇,13,0,
L0000212,U003347,纸尿裤,妈咪宝贝,2,1,2020-10-15
L0000213,U004318,纸尿裤,好奇,8,1,2020-04-15
L0000214,U003006,纸尿裤,帮宝适,18,1,2023-05-15
L0000215,U001381,纸尿裤,帮宝适,9,1,2021-03-15
L0000216,U005340,纸尿裤,帮宝适,11,1,2020-08-15
L0000217,U001706,纸尿裤,妈咪宝贝,10,1,2021-03-15
L0000218,U004085,纸尿裤,妈咪宝贝,11,0,
L0000219,U002087,纸尿裤,帮宝适,9,1,2019-03-15
L0000220,U005492,纸尿裤,花王,10,1,2021-05-15
L0000221,U004055,纸尿裤,露安适,11,0,
L0000222,U001698,纸尿裤,好奇,17,0,
L0000223,U005015,纸尿裤,花王,5,0,
L0000224,U002505,纸尿裤,好奇,4,0,
L0000225,U005346,纸尿裤,花王,10,0,
L0000226,U005951,纸尿裤,花王,8,1,2020-04-15
L0000227,U002537,纸尿裤,好奇,10,1,2022-01-15
L0000228,U005655,纸尿裤,露安适,6,0,
L0000229,U003382,纸尿裤,好奇,22,0,
L0000230,U000626,纸尿裤,好奇,9,1,2020-06-15
L0000231,U004624,纸尿裤,露安适,5,0,
L0000232,U000338,纸尿裤,花王,17,0,
L0000233,U000947,纸尿裤,帮宝适,16,0,
L0000234,U002696,纸尿裤,好奇,5,0,
L0000235,U005704,纸尿裤,露安适,2,0,
L0000236,U003633,纸尿裤,花王,11,1,2020-06-15
L0000237,U005149,纸尿裤,大王,7,1,2022-04-15
L0000238,U003731,纸尿裤,露安适,15,1,2021-02-15
L0000239,U000143,纸尿裤,大王,11,0,
L0000240,U003390,纸尿裤,妈咪宝贝,3,0,
L0000241,U003924,纸尿裤,露安适,8,1,2022-01-15
L0000242,U003864,纸尿裤,妈咪宝贝,5,1,2022-02-15
L0000243,U005534,纸尿裤,大王,4,1,2023-05-15
L0000244,U000996,纸尿裤,妈咪宝贝,36,1,2022-11-15
L0000245,U001973,纸尿裤,妈咪宝贝,3,0,
L0000246,U003526,纸尿裤,妈咪宝贝,5,0,
L0000247,U003428,纸尿裤,好奇,20,0,
L0000248,U000976,纸尿裤,花王,9,1,2023-08-15
L0000249,U005344,纸尿裤,帮宝适,9,1,2022-05-15
L0000250,U004404,纸尿裤,露安适,12,1,2020-10-15
L0000251,U004336,纸尿裤,帮宝适,6,1,2019-04-15
L0000252,U004877,纸尿裤,好奇,14,0,
L0000253,U005785,纸尿裤,好奇,11,0,
L0000254,U004397,纸尿裤,露安适,8,1,2019-06-15
L0000255,U004899,纸尿裤,妈咪宝贝,7,1,2020-10-15
L0000256,U005186,纸尿裤,好奇,7,1,2024-12-15
L0000257,U002976,纸尿裤,帮宝适,15,1,2021-02-15
L0000258,U000184,纸尿裤,大王,7,0,
L0000259,U004158,纸尿裤,好奇,6,0,
L0000260,U000547,纸尿裤,好奇,10,1,2018-05-15
L0000261,U004756,纸尿裤,大王,25,0,
L0000262,U005450,纸尿裤,妈咪宝贝,3,1,2019-06-15
L0000263,U000121,纸尿裤,露安适,13,1,2023-12-15
L0000264,U004027,纸尿裤,露安适,2,1,2022-09-15
L0000265,U002574,纸尿裤,露安适,13,0,
L0000266,U000680,纸尿裤,帮宝适,7,0,
L0000267,U005055,纸尿裤,露安适,3,0,
L0000268,U000859,纸尿裤,花王,4,1,2024-09-15
L0000269,U004809,纸尿裤,帮宝适,6,1,2023-07-15
L0000270,U005095,纸尿裤,大王,8,0,
L0000271,U003518,纸尿裤,帮宝适,11,1,2019-07-15
L0000272,U002797,纸尿裤,露安适,2,0,
L0000273,U004731,纸尿裤,露安适,5,0,
L0000274,U005314,纸尿裤,好奇,6,0,
L0000275,U002633,纸尿裤,帮宝适,23,1,2021-11-15
L0000276,U001257,纸尿裤,大王,13,0,
L0000277,U001315,纸尿裤,好奇,9,1,2018-03-15
L0000278,U005013,纸尿裤,露安适,6,0,
L0000279,U003105,纸尿裤,妈咪宝贝,7,0,
L0000280,U001387,纸尿裤,好奇,8,1,2024-08-15
L0000281,U005269,纸尿裤,露安适,17,1,2023-09-15
L0000282,U004549,纸尿裤,妈咪宝贝,3,1,2023-11-15
L0000283,U000581,纸尿裤,露安适,6,1,2022-06-15
L0000284,U005216,纸尿裤,帮宝适,22,1,2019-04-15
L0000285,U000151,纸尿裤,妈咪宝贝,6,0,
L0000286,U003591,纸尿裤,帮宝适,4,1,2023-07-15
L0000287,U002984,纸尿裤,妈咪宝贝,3,0,
L0000288,U005737,纸尿裤,妈咪宝贝,17,1,2022-01-15
L0000289,U002758,纸尿裤,露安适,10,0,
L0000290,U001104,纸尿裤,帮宝适,4,0,
L0000291,U003215,纸尿裤,大王,23,1,2023-05-15
L0000292,U004998,纸尿裤,帮宝适,6,1,2023-12-15
L0000293,U002560,纸尿裤,好奇,8,0,
L0000294,U003782,纸尿裤,帮宝适,17,1,2024-05-15
L0000295,U004027,纸尿裤,帮宝适,5,1,2022-09-15
L0000296,U003335,纸尿裤,露安适,2,0,
L0000297,U003454,纸尿裤,好奇,8,1,2020-02-15
L0000298,U004055,纸尿裤,好奇,19,0,
L0000299,U000653,纸尿裤,露安适,11,0,
L0000300,U001621,纸尿裤,好奇,11,0,
L0000301,U005228,纸尿裤,花王,6,0,
L0000302,U004770,纸尿裤,妈咪宝贝,8,0,
L0000303,U001502,纸尿裤,大王,10,0,
L0000304,U003193,纸尿裤,露安适,4,0,
L0000305,U002966,纸尿裤,妈咪宝贝,4,1,2020-11-15
L0000306,U000277,纸尿裤,大王,7,1,2019-09-15
L0000307,U004610,纸尿裤,好奇,12,1,2021-10-15
L0000308,U000948,纸尿裤,大王,17,0,
L0000309,U001415,纸尿裤,花王,3,0,
L0000310,U003386,纸尿裤,好奇,14,0,
L0000311,U002330,纸尿裤,帮宝适,11,0,
L0000312,U001765,纸尿裤,妈咪宝贝,2,0,
L0000313,U000394,纸尿裤,好奇,9,0,
L0000314,U000940,纸尿裤,露安适,6,1,2024-11-15
L0000315,U003933,纸尿裤,帮宝适,9,0,
L0000316,U004835,纸尿裤,帮宝适,5,0,
L0000317,U000294,纸尿裤,大王,8,1,2018-01-15
L0000318,U000356,纸尿裤,露安适,18,1,2020-11-15
L0000319,U005459,纸尿裤,帮宝适,5,0,
L0000320,U004725,纸尿裤,露安适,6,1,2019-03-15
L0000321,U004244,纸尿裤,帮宝适,12,0,
L0000322,U003143,纸尿裤,大王,14,1,2018-03-15
L0000323,U004266,纸尿裤,大王,13,0,
L0000324,U004327,纸尿裤,花王,10,0,
L0000325,U001063,纸尿裤,好奇,4,0,
L0000326,U005507,纸尿裤,妈咪宝贝,2,0,
L0000327,U002094,纸尿裤,花王,3,0,
L0000328,U000080,纸尿裤,妈咪宝贝,7,1,2019-09-15
L0000329,U002460,纸尿裤,好奇,6,0,
L0000330,U002227,纸尿裤,大王,3,0,
L0000331,U002177,纸尿裤,大王,7,1,2020-10-15
L0000332,U005750,纸尿裤,露安适,3,1,2022-04-15
L0000333,U000984,纸尿裤,好奇,4,1,2019-04-15
L0000334,U000086,纸尿裤,好奇,15,0,
L0000335,U005125,纸尿裤,好奇,6,1,2021-11-15
L0000336,U000814,纸尿裤,花王,16,0,
L0000337,U003445,纸尿裤,好奇,19,1,2024-11-15
L0000338,U001468,纸尿裤,帮宝适,8,1,2022-05-15
L0000339,U001352,纸尿裤,好奇,10,1,2020-08-15
L0000340,U001635,纸尿裤,花王,2,0,
L0000341,U004739,纸尿裤,妈咪宝贝,12,0,
L0000342,U000520,纸尿裤,好奇,23,1,2023-05-15
L0000343,U005413,纸尿裤,露安适,9,1,2022-09-15
L0000344,U004852,纸尿裤,大王,4,1,2020-03-15
L0000345,U005749,纸尿裤,帮宝适,15,0,
L0000346,U005430,纸尿裤,露安适,6,0,
L0000347,U002887,纸尿裤,花王,6,1,2019-05-15
L0000348,U001814,纸尿裤,好奇,8,1,2019-08-15
L0000349,U001357,纸尿裤,妈咪宝贝,8,1,2024-01-15
L0000350,U004114,纸尿裤,好奇,19,0,
L0000351,U000509,纸尿裤,好奇,10,0,
L0000352,U005305,纸尿裤,大王,14,0,
L0000353,U005399,纸尿裤,好奇,12,1,2019-10-15
L0000354,U001931,纸尿裤,大王,7,1,2021-06-15
L0000355,U003629,纸尿裤,好奇,5,1,2023-02-15
L0000356,U000041,纸尿裤,露安适,10,0,
L0000357,U004186,纸尿裤,帮宝适,5,1,2023-03-15
L0000358,U005887,纸尿裤,大王,3,0,
L0000359,U001520,纸尿裤,好奇,8,0,
L0000360,U003699,纸尿裤,花王,4,0,
L0000361,U001834,纸尿裤,好奇,10,1,2018-12-15
L0000362,U004803,纸尿裤,露安适,21,0,
L0000363,U003166,纸尿裤,露安适,3,0,
L0000364,U000022,纸尿裤,大王,14,1,2018-12-15
L0000365,U000015,纸尿裤,妈咪宝贝,6,0,
L0000366,U004338,纸尿裤,花王,8,1,2018-02-15
L0000367,U003014,纸尿裤,花王,17,1,2019-10-15
L0000368,U000102,纸尿裤,妈咪宝贝,11,0,
L0000369,U004891,纸尿裤,妈咪宝贝,12,1,2024-06-15
L0000370,U002286,纸尿裤,帮宝适,4,1,2018-12-15
L0000371,U003359,纸尿裤,大王,6,0,
L0000372,U002805,纸尿裤,妈咪宝贝,7,0,
L0000373,U005644,纸尿裤,露安适,2,1,2018-12-15
L0000374,U000217,纸尿裤,好奇,25,1,2023-02-15
L0000375,U002146,纸尿裤,大王,8,0,
L0000376,U004453,纸尿裤,花王,10,1,2024-11-15
L0000377,U000226,纸尿裤,露安适,3,0,
L0000378,U003405,纸尿裤,妈咪宝贝,9,1,2018-09-15
L0000379,U000282,纸尿裤,帮宝适,2,0,
L0000380,U005468,纸尿裤,帮宝适,6,0,
L0000381,U002644,纸尿裤,花王,10,0,
L0000382,U000863,纸尿裤,妈咪宝贝,6,0,
L0000383,U002845,纸尿裤,妈咪宝贝,12,1,2023-04-15
L0000384,U000087,纸尿裤,帮宝适,2,1,2020-08-15
L0000385,U001806,纸尿裤,花王,5,0,
L0000386,U000511,纸尿裤,大王,17,1,2024-05-15
L0000387,U005312,纸尿裤,花王,9,1,2021-04-15
L0000388,U002004,纸尿裤,帮宝适,8,1,2019-02-15
L0000389,U004875,纸尿裤,帮宝适,36,1,2019-07-15
L0000390,U001951,纸尿裤,露安适,7,1,2019-08-15
L0000391,U002346,纸尿裤,好奇,2,1,2018-03-15
L0000392,U004296,纸尿裤,大王,8,0,
L0000393,U005167,纸尿裤,好奇,17,0,
L0000394,U000485,纸尿裤,露安适,2,0,
L0000395,U004533,纸尿裤,大王,12,1,2019-01-15
L0000396,U000438,纸尿裤,妈咪宝贝,2,1,2020-02-15
L0000397,U001960,纸尿裤,帮宝适,5,0,
L0000398,U000605,纸尿裤,花王,3,1,2019-05-15
L0000399,U005840,纸尿裤,帮宝适,24,1,2021-11-15
L0000400,U004100,纸尿裤,大王,15,0,
L0000401,U002997,纸尿裤,花王,11,0,
L0000402,U002254,纸尿裤,大王,5,0,
L0000403,U000584,纸尿裤,好奇,4,0,
L0000404,U004693,纸尿裤,好奇,13,0,
L0000405,U004402,纸尿裤,好奇,3,1,2022-11-15
L0000406,U004735,纸尿裤,好奇,5,1,2020-08-15
L0000407,U001703,纸尿裤,帮宝适,4,0,
L0000408,U002237,纸尿裤,帮宝适,3,1,2024-01-15
L0000409,U002428,纸尿裤,妈咪宝贝,12,0,
L0000410,U001305,纸尿裤,花王,4,0,
L0000411,U004451,纸尿裤,妈咪宝贝,4,1,2023-01-15
L0000412,U003055,纸尿裤,花王,7,0,
L0000413,U005543,纸尿裤,妈咪宝贝,8,1,2022-03-15
L0000414,U004333,纸尿裤,大王,11,1,2021-07-15
L0000415,U005445,纸尿裤,好奇,4,0,
L0000416,U003377,纸尿裤,帮宝适,9,1,2019-11-15
L0000417,U004569,纸尿裤,花王,9,1,2018-01-15
L0000418,U005865,纸尿裤,好奇,2,0,
L0000419,U004566,纸尿裤,大王,6,1,2022-12-15
L0000420,U000957,纸尿裤,大王,3,1,2023-03-15
L0000421,U001550,纸尿裤,好奇,10,1,2018-08-15
L0000422,U004158,纸尿裤,大王,2,0,
L0000423,U003410,纸尿裤,妈咪宝贝,7,1,2018-09-15
L0000424,U003267,纸尿裤,露安适,4,0,
L0000425,U003833,纸尿裤,露安适,9,0,
L0000426,U001732,纸尿裤,花王,9,0,
L0000427,U003112,纸尿裤,露安适,14,1,2018-08-15
L0000428,U002214,纸尿裤,花王,6,1,2019-11-15
L0000429,U005233,纸尿裤,妈咪宝贝,25,0,
L0000430,U001631,纸尿裤,露安适,15,1,2019-03-15
L0000431,U000721,纸尿裤,帮宝适,13,1,2020-09-15
L0000432,U005932,纸尿裤,妈咪宝贝,7,1,2024-05-15
L0000433,U005809,纸尿裤,帮宝适,5,1,2022-10-15
L0000434,U005603,纸尿裤,妈咪宝贝,12,1,2023-09-15
L0000435,U002185,纸尿裤,好奇,9,1,2021-09-15
L0000436,U003615,纸尿裤,露安适,13,0,
L0000437,U001693,纸尿裤,大王,8,0,
L0000438,U001019,纸尿裤,大王,12,0,
L0000439,U005922,纸尿裤,大王,8,0,
L0000440,U004228,纸尿裤,妈咪宝贝,9,0,
L0000441,U005632,纸尿裤,帮宝适,6,1,2023-10-15
L0000442,U001285,纸尿裤,好奇,13,0,
L0000443,U004054,纸尿裤,好奇,12,1,2020-01-15
L0000444,U000808,纸尿裤,妈咪宝贝,4,1,2022-09-15
L0000445,U005616,纸尿裤,大王,2,0,
L0000446,U002138,纸尿裤,露安适,6,1,2019-08-15
L0000447,U001177,纸尿裤,花王,2,0,
L0000448,U001058,纸尿裤,好奇,9,1,2022-03-15
L0000449,U000499,纸尿裤,妈咪宝贝,8,0,
L0000450,U000509,纸尿裤,花王,11,1,2023-08-15
L0000451,U000010,纸尿裤,露安适,12,0,
L0000452,U004342,纸尿裤,妈咪宝贝,1,1,2019-06-15
L0000453,U002901,纸尿裤,花王,12,0,
L0000454,U001211,纸尿裤,好奇,4,1,2021-04-15
L0000455,U004345,纸尿裤,露安适,36,0,
L0000456,U005601,纸尿裤,露安适,18,0,
L0000457,U001131,纸尿裤,花王,20,1,2019-07-15
L0000458,U003541,纸尿裤,帮宝适,6,1,2019-02-15
L0000459,U000382,纸尿裤,帮宝适,4,1,2022-06-15
L0000460,U005209,纸尿裤,露安适,8,0,
L0000461,U004369,纸尿裤,露安适,1,1,2023-05-15
L0000462,U003181,纸尿裤,花王,27,0,
L0000463,U004653,纸尿裤,好奇,9,1,2020-04-15
L0000464,U003630,纸尿裤,露安适,4,1,2021-09-15
L0000465,U004314,纸尿裤,好奇,8,0,
L0000466,U004917,纸尿裤,妈咪宝贝,6,0,
L0000467,U005662,纸尿裤,露安适,5,0,
L0000468,U003321,纸尿裤,大王,19,0,
L0000469,U002695,纸尿裤,花王,11,0,
L0000470,U001780,纸尿裤,露安适,13,0,
L0000471,U003124,纸尿裤,好奇,5,1,2018-05-15
L0000472,U000258,纸尿裤,露安适,5,1,2022-01-15
L0000473,U003014,纸尿裤,好奇,8,1,2018-07-15
L0000474,U002733,纸尿裤,妈咪宝贝,5,0,
L0000475,U001685,纸尿裤,帮宝适,2,1,2019-03-15
L0000476,U005733,纸尿裤,花王,7,1,2021-01-15
L0000477,U004699,纸尿裤,妈咪宝贝,4,0,
L0000478,U002449,纸尿裤,好奇,5,1,2018-03-15
L0000479,U003501,纸尿裤,花王,4,0,
L0000480,U004229,纸尿裤,妈咪宝贝,9,1,2020-12-15
L0000481,U002649,纸尿裤,帮宝适,9,1,2023-01-15
L0000482,U003883,纸尿裤,大王,5,1,2022-11-15
